County,Democratic Votes,Republican Votes,Total Votes,Population
Appling,"1,784","6,570","8,390","18,428"
Atkinson,825,"2,300","3,155","8,311"
Bacon,625,"4,017","4,667","11,140"
Baker,652,897,"1,555","3,090"
Baldwin,"9,140","8,903","18,261","45,072"
Banks,932,"7,795","8,805","18,900"
Barrow,"10,453","26,804","37,946","81,294"
Bartow,"12,091","37,672","50,486","106,456"
Ben Hill,"2,393","4,111","6,564","16,889"
Berrien,"1,269","6,419","7,744","19,206"
Bibb,"43,408","26,559","70,763","153,026"
Bleckley,"1,312","4,329","5,710","12,870"
Brantley,700,"6,993","7,749","18,924"
Brooks,"2,791","4,261","7,101","15,548"
Bryan,"6,738","14,240","21,349","38,321"
Bulloch,"11,248","18,387","30,109","77,719"
Burke,"5,208","5,400","10,685","22,567"
Butts,"3,274","8,406","11,776","24,463"
Calhoun,"1,263",923,"2,198","6,301"
Camden,"7,967","15,249","23,698","53,960"
Candler,"1,269","3,133","4,431","10,834"
Carroll,"16,236","37,476","54,502","118,692"
Catoosa,"6,932","25,167","32,626","67,181"
Charlton,"1,105","3,419","4,568","13,032"
Chatham,"78,247","53,232","133,484","289,649"
Chattahoochee,667,880,"1,582","10,470"
Chattooga,"1,854","8,064","10,053","24,826"
Cherokee,"42,779","99,585","144,859","253,780"
Clarke,"36,055","14,450","51,421","126,952"
Clay,791,637,"1,436","2,931"
Clayton,"95,466","15,811","112,391","287,560"
Clinch,744,"2,105","2,862","6,648"
Cobb,73949,55145,131340,252217
Cobb,73949,55145,131341,252218
Cobb,73949,55146,131341,252218
Coffee,"4,511","10,578","15,214","43,070"
Colquitt,"4,190","11,777","16,087","45,510"
Columbia,"29,232","50,013","80,620","154,257"
Cook,"2,059","4,900","7,037","17,217"
Coweta,"24,210","51,501","76,845","145,839"
Crawford,"1,615","4,428","6,102","12,267"
Crisp,"2,982","4,985","8,036","22,509"
Dade,"1,261","6,066","7,447","16,183"
Dawson,"2,486","13,398","16,084","25,277"
Decatur,"4,782","6,755","11,628","26,595"
DeKalb,102720,19459,123625,251762
DeKalb,102721,19459,123626,251762
DeKalb,102721,19459,123626,251763
Dodge,"2,172","5,843","8,072","20,725"
Dooly,"1,911","2,159","4,106","13,571"
Dougherty,"24,568","10,441","35,290","88,696"
Douglas,"42,814","25,454","69,139","145,063"
Early,"2,450","2,710","5,188","10,218"
Echols,167,"1,256","1,442","3,944"
Effingham,"7,718","23,361","31,579","62,241"
Elbert,"2,879","6,226","9,176","19,164"
Emanuel,"2,886","6,553","9,507","22,525"
Evans,"1,324","2,888","4,248","10,671"
Fannin,"2,570","12,169","14,849","25,797"
Fayette,"33,062","37,956","72,012","113,544"
Floyd,"11,917","28,906","41,365","97,805"
Forsyth,"42,208","85,123","129,377","236,605"
Franklin,"1,593","9,069","10,767","23,015"
Fulton,126737,45749,174643,350516
Fulton,126737,45749,174644,350517
Fulton,126738,45749,174644,350517
