,index_i,county_i,index_j,county_j,cij
0,0,Appling,0,Appling,0
1,0,Appling,1,Atkinson,0
2,0,Appling,2,Bacon,1
3,0,Appling,3,Baker,0
4,0,Appling,4,Baldwin,0
5,0,Appling,5,Banks,0
6,0,Appling,6,Barrow,0
7,0,Appling,7,Bartow,0
8,0,Appling,8,Ben,0
9,0,Appling,9,Berrien,0
10,0,Appling,10,Bibb,0
11,0,Appling,11,Bleckley,0
12,0,Appling,12,Brantley,0
13,0,Appling,13,Brooks,0
14,0,Appling,14,Bryan,0
15,0,Appling,15,Bulloch,0
16,0,Appling,16,Burke,0
17,0,Appling,17,Butts,0
18,0,Appling,18,Calhoun,0
19,0,Appling,19,Camden,0
20,0,Appling,20,Candler,0
21,0,Appling,21,Carroll,0
22,0,Appling,22,Catoosa,0
23,0,Appling,23,Charlton,0
24,0,Appling,24,Chatham,0
25,0,Appling,25,Chattahoochee,0
26,0,Appling,26,Chattooga,0
27,0,Appling,27,Cherokee,0
28,0,Appling,28,Clarke,0
29,0,Appling,29,Clay,0
30,0,Appling,30,Clayton,0
31,0,Appling,31,Clinch,0
32,0,Appling,32,Cobb,0
33,0,Appling,33,Cobb,0
34,0,Appling,34,Cobb,0
35,0,Appling,35,Coffee,0
36,0,Appling,36,Colquitt,0
37,0,Appling,37,Columbia,0
38,0,Appling,38,Cook,0
39,0,Appling,39,Coweta,0
40,0,Appling,40,Crawford,0
41,0,Appling,41,Crisp,0
42,0,Appling,42,Dade,0
43,0,Appling,43,Dawson,0
44,0,Appling,44,DeKalb,0
45,0,Appling,45,DeKalb,0
46,0,Appling,46,DeKalb,0
47,0,Appling,47,Decatur,0
48,0,Appling,48,Dodge,0
49,0,Appling,49,Dooly,0
50,0,Appling,50,Dougherty,0
51,0,Appling,51,Douglas,0
52,0,Appling,52,Early,0
53,0,Appling,53,Echols,0
54,0,Appling,54,Effingham,0
55,0,Appling,55,Elbert,0
56,0,Appling,56,Emanuel,0
57,0,Appling,57,Evans,0
58,0,Appling,58,Fannin,0
59,0,Appling,59,Fayette,0
60,0,Appling,60,Floyd,0
61,0,Appling,61,Forsyth,0
62,0,Appling,62,Franklin,0
63,0,Appling,63,Fulton,0
64,0,Appling,64,Fulton,0
65,0,Appling,65,Fulton,0
66,0,Appling,66,Gilmer,0
67,0,Appling,67,Glascock,0
68,0,Appling,68,Glynn,0
69,0,Appling,69,Gordon,0
70,0,Appling,70,Grady,0
71,0,Appling,71,Greene,0
72,0,Appling,72,Gwinnett,0
73,0,Appling,73,Gwinnett,0
74,0,Appling,74,Gwinnett,0
75,0,Appling,75,Habersham,0
76,0,Appling,76,Hall,0
77,0,Appling,77,Hancock,0
78,0,Appling,78,Haralson,0
79,0,Appling,79,Harris,0
80,0,Appling,80,Hart,0
81,0,Appling,81,Heard,0
82,0,Appling,82,Henry,0
83,0,Appling,83,Houston,0
84,0,Appling,84,Irwin,0
85,0,Appling,85,Jackson,0
86,0,Appling,86,Jasper,0
87,0,Appling,87,Jeff,1
88,0,Appling,88,Jefferson,0
89,0,Appling,89,Jenkins,0
90,0,Appling,90,Johnson,0
91,0,Appling,91,Jones,0
92,0,Appling,92,Lamar,0
93,0,Appling,93,Lanier,0
94,0,Appling,94,Laurens,0
95,0,Appling,95,Lee,0
96,0,Appling,96,Liberty,0
97,0,Appling,97,Lincoln,0
98,0,Appling,98,Long,0
99,0,Appling,99,Lowndes,0
100,0,Appling,100,Lumpkin,0
101,0,Appling,101,Macon,0
102,0,Appling,102,Madison,0
103,0,Appling,103,Marion,0
104,0,Appling,104,McDuffie,0
105,0,Appling,105,McIntosh,0
106,0,Appling,106,Meriwether,0
107,0,Appling,107,Miller,0
108,0,Appling,108,Mitchell,0
109,0,Appling,109,Monroe,0
110,0,Appling,110,Montgomery,0
111,0,Appling,111,Morgan,0
112,0,Appling,112,Murray,0
113,0,Appling,113,Muscogee,0
114,0,Appling,114,Newton,0
115,0,Appling,115,Oconee,0
116,0,Appling,116,Oglethorpe,0
117,0,Appling,117,Paulding,0
118,0,Appling,118,Peach,0
